Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
50892227,The End of Gender: Debunking the Myths about Sex and Identity in Our Society,Debra Soh,"Soh, Debra",,"=""1982132515""","=""9781982132514""",0,3.92,Threshold Editions,Hardcover,336,2020,2020,2020/08/30,2020/08/26,"2020, non-fiction, philosophy-theology, science-history","2020 (#32), non-fiction (#311), philosophy-theology (#155), science-history (#176)",read,,,,1,0
53437150,Quantum Reality: The Quest for the Real Meaning of Quantum Mechanics - a Game of Theories,Jim Baggott,"Baggott, Jim",,"=""0198830157""","=""9780198830153""",4,4.18,Oxford University Press,Hardcover,320,2020,2020,2020/08/28,2020/07/19,"2020, non-fiction, philosophy-theology, science-history","2020 (#31), non-fiction (#310), philosophy-theology (#154), science-history (#175)",read,,,,1,0
51801261,The World According to Physics,Jim Al-Khalili,"Al-Khalili, Jim",,"=""0691182302""","=""9780691182308""",4,4.16,Princeton University Press,Hardcover,304,2020,2020,2020/08/26,2020/08/23,"2020, non-fiction, science-history","2020 (#30), non-fiction (#309), science-history (#174)",read,,,,1,0
51876524,Einstein's Unfinished Revolution: The Search for What Lies Beyond the Quantum,Lee Smolin,"Smolin, Lee",,"=""0143111167""","=""9780143111160""",4,3.94,Penguin Books,Paperback,352,2020,2019,2020/08/17,2020/08/10,"2020, non-fiction, science-history","2020 (#29), non-fiction (#308), science-history (#173)",read,,,,1,0
327051,Reasons and Persons,Derek Parfit,"Parfit, Derek",,"=""019824908X""","=""9780198249085""",4,4.26,Oxford University Press,Paperback,543,1986,1984,2020/08/10,2018/03/01,"2020, non-fiction, philosophy-theology","2020 (#28), non-fiction (#307), philosophy-theology (#153)",read,,,,1,0
10324174,The Quantum Story: A History in 40 Moments,Jim Baggott,"Baggott, Jim",,"=""0199566844""","=""9780199566846""",0,4.02,"Oxford University Press, USA",Hardcover,320,2011,2011,,2020/07/19,to-read,to-read (#25),to-read,,,,0,0
52927142,"Koder, krypton och dolda budskap",Clas Svahn,"Svahn, Clas",,"=""""","=""9789155263751""",3,4.00,Bokförlaget Semic,Hardcover,365,2017,,2019/07/30,2019/07/04,"2019, non-fiction, science-history","2019 (#101), non-fiction (#242), science-history (#131)",read,,,,1,0
52725924,Råttkungen,Pascal Engman,"Engman, Pascal",,"=""""","=""9789188859440""",4,3.93,Bookmark förlag,Hardcover,428,2019,2019,2020/02/18,2020/02/16,"2020, fiction","2020 (#20), fiction (#101)",read,,,,1,0
52614438,Institutet,Stephen King,"King, Stephen",,"=""""","=""9789100180270""",4,4.20,Albert Bonniers Förlag,Hardcover,665,2019,2019,2019/12/10,2019/12/06,"2019, fiction","2019 (#160), fiction (#94)",read,,,,1,0
45836114,"1794 (Bellman noir, #2)",Niklas Natt och Dag,"Dag, Niklas Natt och",,"=""9137153706""","=""9789137153704""",3,3.77,Bokförlaget Forum,Hardcover,503,2019,2019,2020/03/20,2020/03/16,"2020, fiction","2020 (#27), fiction (#105)",read,,,,1,0
36241510,"1793 (Bellman noir, #1)",Niklas Natt och Dag,"Dag, Niklas Natt och",,"=""""","=""9789137150253""",5,3.87,Bokförlaget Forum,Hardcover,446,2017,2017,2020/03/16,2020/03/13,"2020, fiction","2020 (#26), fiction (#104)",read,,,,1,0
130119,An Enquiry Concerning Human Understanding,David Hume,"Hume, David",,"=""1420926993""","=""9781420926996""",4,3.93,Digireads.com,Paperback,96,2006,1748,2020/03/08,2020/02/26,"2020, läs-igen, philosophy-theology, non-fiction","2020 (#25), läs-igen (#7), philosophy-theology (#152), non-fiction (#306)",read,,,,1,0
25345622,"Blindgang (William Wisting, #10)",Jørn Lier Horst,"Horst, Jørn Lier",,"=""""","=""9788205485907""",4,4.03,Gyldendal,Hardcover,381,2015,2015,2020/03/03,2020/02/27,"2020, fiction","2020 (#24), fiction (#103)",read,,,,1,0
51922776,SEO för alla - en snabbkurs i sökmotoroptimering för dig som vill ranka högt på Google,Christer Pettersson,"Pettersson, Christer",,"=""""","=""9789198541625""",3,3.17,Magma Audio Publishing,Audiobook,,2019,,2019/09/03,2019/09/03,"2019, non-fiction","2019 (#119), non-fiction (#254)",read,,,,1,0
22041217,Jakthundarna (William Wisting #8),Jørn Lier Horst,"Horst, Jørn Lier",,"=""""","=""9789174612349""",4,4.05,Lind & Co,Hardcover,397,2014,2012,2020/02/27,2020/02/26,"2020, fiction","2020 (#23), fiction (#102)",read,,,,1,0
43080984,Korta svar på stora frågor,Stephen Hawking,"Hawking, Stephen",,"=""""","=""9789188671752""",4,4.29,Mondial,Hardcover,227,2018,2018,2020/02/25,2020/02/19,"2020, non-fiction, science-history","2020 (#22), non-fiction (#305), science-history (#172)",read,,,,1,0
39217056,Becoming Human: A Theory of Ontogeny,Michael Tomasello,"Tomasello, Michael",,"=""0674980859""","=""9780674980853""",3,4.19,Belknap Press,Hardcover,392,2019,2018,2020/02/19,2020/02/05,"2020, non-fiction, science-history","2020 (#21), non-fiction (#304), science-history (#171)",read,,,,1,0
